sku,product-id,product-id-type,price,minimum-seller-allowed-price,maximum-seller-allowed-price,item-condition,quantity,add-delete,will-ship-internationally,expedited-shipping,standard-plus,item-note,fulfillment-channel,product-tax-code,leadtime-to-ship,merchant-shipping-group
MUZ-YG18-PND-115,,,5000.0,4500.0,7500.0,11,1,a,n,n,,Certified Colombian Emerald Pendant in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-PND-116,,,3750.0,3375.0,5625.0,11,1,a,n,n,,Certified Colombian Emerald Pendant in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-PND-117,,,1500.0,1350.0,2250.0,11,1,a,n,n,,Certified Colombian Emerald Pendant in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-PND-118,,,14500.0,13050.0,21750.0,11,1,a,n,n,,Certified Colombian Emerald Pendant in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-RNG-119,,,800.0,720.0,1200.0,11,1,a,n,n,,Certified Colombian Emerald Ring in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-RNG-120,,,6500.0,5850.0,9750.0,11,1,a,n,n,,Certified Colombian Emerald Ring in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-RNG-121,,,4500.0,4050.0,6750.0,11,1,a,n,n,,Certified Colombian Emerald Ring in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-RNG-122,,,3250.0,2925.0,4875.0,11,1,a,n,n,,Certified Colombian Emerald Ring in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-RNG-123,,,3750.0,3375.0,5625.0,11,1,a,n,n,,Certified Colombian Emerald Ring in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-RNG-124,,,18750.0,16875.0,28125.0,11,1,a,n,n,,Certified Colombian Emerald Ring in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-RNG-125,,,700.0,630.0,1050.0,11,1,a,n,n,,Certified Colombian Emerald Ring in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-RNG-126,,,2750.0,2475.0,4125.0,11,1,a,n,n,,Certified Colombian Emerald Ring in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-RNG-127,,,800.0,720.0,1200.0,11,1,a,n,n,,Certified Colombian Emerald Ring in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
MUZ-YG18-RNG-128,,,4500.0,4050.0,6750.0,11,1,a,n,n,,Certified Colombian Emerald Ring in 18k Yellow Gold. Handcrafted by Muzem Emeralds.,,A_GEN_NOTAX,2,Migrated Template
